ticker,negative,neutral,positive,fact,opinion
GWW,0,2,3,1,4
ALTR,2,0,2,1,3
ALE,2,2,1,3,2
BG,3,1,3,0,7
NVCR,2,0,3,0,5
ORN,2,0,3,0,5
MKL,1,2,2,1,4
MGPI,5,0,0,1,4
PRU,1,1,3,2,3
SWK,3,1,1,1,4
TT,0,1,4,2,3
EXC,0,1,4,1,4
ARCC,2,3,0,1,4
MBLY,1,3,0,3,1
GEHC,0,0,5,1,4
NRDS,0,0,4,0,4
ABBV,0,0,4,0,4
ITW,0,0,3,0,3
KHC,2,0,1,1,2
WM,1,4,4,2,7
XPO,0,0,5,2,3
GIC,3,1,1,2,3
TEL,0,1,3,1,3
GSK,1,1,2,0,4
HCRB,0,1,5,2,4
PM,0,1,19,1,19
ESAB,0,1,4,1,4
MERC,3,0,2,2,3
SKWD,0,0,5,2,3
AMT,3,1,0,2,2
MSCI,2,1,7,2,8
CROX,0,0,5,1,4
SYY,1,1,3,2,3
CPAY,1,0,3,0,4
CPRT,1,1,7,3,6
SC,0,2,7,3,6
LTC,0,1,4,0,5
BRX,1,3,1,2,3
CF,2,0,3,3,2
EHC,0,0,5,0,5
AMGN,1,2,2,3,2
BRO,0,0,5,1,4
WELL,0,4,6,6,4
SBAC,2,1,7,5,5
ON,1,2,2,0,5
BOW,1,1,3,1,4
JBLU,0,0,5,0,5
ENSG,1,0,8,2,7
PHG,5,0,0,0,5
BOH,0,0,4,0,4
OVV,1,0,1,0,2
CNP,3,1,1,1,4
SKY,0,1,4,0,5
BOOT,0,0,5,0,5
FLJP,4,3,0,1,6
QQQN,1,0,6,3,4
EPP,2,4,1,1,6
DIA,0,0,9,2,7
EA,0,2,3,3,2
CAKE,1,2,7,7,3
AKR,1,1,3,2,3
GNTX,0,0,5,1,4
CVI,3,1,1,1,4
SNYR,1,1,2,2,2
ASGN,1,1,7,2,7
CNC,1,0,4,2,3
SKX,0,0,3,0,3
COUR,2,0,2,0,4
DXCM,2,0,1,1,2
SAM,2,0,2,0,4
RMD,0,0,2,0,2
BNDW,0,4,3,4,3
CPRI,1,3,2,2,4
RWR,0,5,7,3,9
ZYXI,1,2,2,2,3
TXRH,0,1,4,2,3
POOL,2,1,2,2,3
LHX,1,1,8,1,9
KKR,0,1,4,1,4
RCUS,1,1,2,0,4
IBM,11,4,7,7,15
HAS,3,0,2,0,5
POR,0,0,5,0,5
AON,0,1,4,0,5
ALLE,1,1,3,3,2
LRCX,0,0,11,1,10
SPR,3,0,1,1,3
LVS,4,0,0,0,4
TRU,0,2,3,1,4
AAL,2,0,3,1,4
UL,0,2,5,4,3
DSY.PA,4,2,1,3,4
URI,0,2,3,3,2
ODFL,2,0,3,0,5
LII,0,0,5,1,4
SYBT,1,1,3,2,3
TNL,0,1,4,2,3
HAFC,0,2,3,2,3
CME,0,0,5,0,5
TMO,3,0,2,3,2
EWBC,1,2,2,1,4
TFII,2,0,3,1,4
"QCOM, NASDAQ",3,1,0,0,4
ALGN,2,0,3,1,4
WEX,1,2,2,3,2
NBR,4,0,1,1,4
NSC,0,1,4,0,5
KTOS,0,1,3,1,3
PHM,2,0,2,0,4
HSTM,0,1,4,1,4
AUB,0,2,3,2,3
CLB,1,0,4,0,5
RAND.AS,0,1,7,2,6
IHG,0,1,9,1,9
SAP,0,1,9,0,10
LOGI,0,2,8,1,9
MCO,0,3,8,1,10
HDB,0,3,2,1,4
ACWF,2,3,5,5,5
EFSC,0,0,5,1,4
WHR,2,1,2,3,2
SASR,2,1,1,1,3
NUE,5,0,4,1,8
ARE,1,3,6,4,6
RACE,1,1,3,0,5
GNRC,1,0,3,0,4
CVS,1,1,8,1,9
HTZ,3,0,1,0,4
CVRX,1,1,2,0,4
STLD,5,2,3,1,9
ALV,3,1,0,2,2
UPS,4,2,2,1,7
PAC,0,0,4,1,3
GOOS,4,0,1,1,4
CADE,0,2,3,1,4
ELS,1,3,1,1,4
BMI,1,0,3,0,4
MMC,0,1,4,0,5
AVY,0,0,4,0,4
SE,0,0,4,0,4
ASML,11,5,0,2,14
MC.PA,10,3,3,4,12
APAM,2,3,6,4,7
ASML.AS,6,4,1,3,8
IRDM,0,4,1,3,2
EFX,0,1,4,0,5
HTHT,0,0,5,0,5
TWN,0,3,7,0,10
BND,2,5,3,5,5
CAT,3,0,0,0,3
VFC,0,0,3,0,3
FROG,0,0,2,0,2
YELP,1,0,3,1,3
EEM,1,5,3,4,5
APPF,0,0,5,2,3
ALTM,2,0,3,2,3
ESE,1,0,4,1,4
BMRC,0,0,2,0,2
